,player,year,g,mp,per,bpm,vorp,class
1781,Yogi Ferrell,2019-20,50.0,10.6,12.2,-1.8,0.0,below average
1782,Daniel Gafford,2019-20,43.0,14.2,16.2,-1.3,0.1,below average
1783,Harry Giles,2019-20,46.0,14.5,16.4,-1.3,0.1,below average
1784,Brandon Goodwin,2019-20,34.0,12.6,11.6,-2.9,-0.1,below average
1785,Javonte Green,2019-20,48.0,9.8,13.1,-0.7,0.2,below average
1786,Jeff Green,2019-20,48.0,20.0,13.7,-0.1,0.5,below average
1787,Shaquille Harrison,2019-20,43.0,11.3,17.8,2.8,0.6,below average
1788,Isaiah Hartenstein,2019-20,23.0,11.6,18.6,0.3,0.2,below average
1789,John Henson,2019-20,40.0,15.0,17.0,0.9,0.4,below average
1790,Willy Hernangómez,2019-20,31.0,12.1,19.2,0.1,0.2,below average
1791,Jaylen Hoard,2019-20,13.0,7.9,14.9,-2.1,0.0,below average
1792,Rodney Hood,2019-20,21.0,29.5,12.2,-0.9,0.2,below average
1793,Chandler Hutchison,2019-20,28.0,18.8,12.4,-2.6,-0.1,below average
1794,Andre Iguodala,2019-20,21.0,19.9,10.5,-0.5,0.2,below average
1795,Josh Jackson,2019-20,22.0,17.3,14.1,0.1,0.2,below average
1796,Reggie Jackson,2019-20,31.0,24.0,13.7,-0.3,0.3,below average
1797,Justin James,2019-20,36.0,6.4,11.0,-1.4,0.0,below average
1798,Alize Johnson,2019-20,17.0,6.9,13.3,-1.6,0.0,below average
1799,James Johnson,2019-20,32.0,19.3,14.8,0.0,0.3,below average
1800,Keldon Johnson,2019-20,17.0,17.7,19.1,1.5,0.3,below average
1801,Mfiondu Kabengele,2019-20,12.0,5.3,18.2,2.2,0.1,below average
1802,Frank Kaminsky,2019-20,39.0,19.9,14.2,-0.5,0.3,below average
1803,John Konchar,2019-20,19.0,9.5,18.0,4.5,0.3,below average
1804,Luke Kornet,2019-20,36.0,15.5,12.7,-1.2,0.1,below average
1805,Skal Labissière,2019-20,33.0,17.2,15.4,-1.3,0.1,below average
1806,T.J. Leaf,2019-20,28.0,7.9,12.9,-2.4,0.0,below average
1807,Courtney Lee,2019-20,24.0,14.4,10.8,-0.6,0.1,below average
1808,Alex Len,2019-20,55.0,17.6,17.7,-0.7,0.3,below average
1809,Ian Mahinmi,2019-20,38.0,21.3,14.2,-2.7,-0.2,below average
1810,Terance Mann,2019-20,41.0,8.8,10.6,-1.5,0.0,below average
1811,Boban Marjanović,2019-20,44.0,9.6,25.7,1.2,0.3,below average
1812,Caleb Martin,2019-20,18.0,17.6,12.0,-1.0,0.1,below average
1813,Jeremiah Martin,2019-20,9.0,11.0,21.8,3.2,0.1,below average
1814,Frank Mason III,2019-20,9.0,13.1,16.9,0.0,0.1,below average
1815,Garrison Mathews,2019-20,18.0,12.6,13.1,-1.1,0.1,below average
1816,Jordan McLaughlin,2019-20,30.0,19.7,16.3,0.3,0.3,below average
1817,Jordan McRae,2019-20,37.0,21.2,14.2,-1.5,0.1,below average
1818,Chimezie Metu,2019-20,18.0,5.8,22.2,1.7,0.1,below average
1819,C.J. Miles,2019-20,10.0,16.1,11.1,-1.7,0.0,below average
1820,Shake Milton,2019-20,40.0,20.1,14.4,-1.0,0.2,below average
1821,Johnathan Motley,2019-20,13.0,3.2,28.5,8.1,0.1,below average
1822,Mike Muscala,2019-20,47.0,12.2,12.5,-0.1,0.3,below average
1823,Raul Neto,2019-20,54.0,12.4,12.7,-1.8,0.0,below average
1824,Jusuf Nurkić,2019-20,8.0,31.6,22.6,2.0,0.2,below average
1825,David Nwaba,2019-20,20.0,13.4,14.0,1.1,0.2,below average
1826,Kyle O'Quinn,2019-20,29.0,10.8,18.6,3.0,0.4,below average
1827,Jahlil Okafor,2019-20,30.0,15.6,18.3,-0.2,0.2,below average
1828,Cameron Payne,2019-20,8.0,22.9,15.7,1.7,0.2,below average
1829,Gary Payton II,2019-20,29.0,14.9,11.3,-1.6,0.0,below average
1830,Otto Porter Jr.,2019-20,14.0,23.6,15.8,1.0,0.3,below average
1831,Naz Reid,2019-20,30.0,16.5,15.3,-1.9,0.0,below average
1832,JaKarr Sampson,2019-20,34.0,13.9,12.6,-1.4,0.1,below average
1833,Thabo Sefolosha,2019-20,41.0,10.6,9.4,-1.2,0.1,below average
1834,Chris Silva,2019-20,44.0,7.9,17.3,-2.3,0.0,below average
